Discounted_price_in_Flipkart,Product_name_in_Flipkart,Retail_price_in_Flipkart,uniq_id,Discounted_price_in_Amazon,Product_name_in_Amazon,Retail_price_in_Amazon,Retail_price_diff,discounted_price_diff
379.0,Alisha Solid Women's Cycling Shorts,999.0,c2d766ca982eca8304150849735ffef9,438,Alisha Solid Women's Cycling Shorts,982,-17.0,59.0
22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,7f7036a6d550aaa89d34c77bd39a5e48,29121,FabHomeDecor Fabric Double Sofa Bed,32143,-14.0,6475.0
499.0,AW Bellies,999.0,f449ec65dcbc041b6ae5e6a32717d01b,551,AW Bellies,991,-8.0,52.0
267.0,Alisha Solid Women's Cycling Shorts,699.0,0973b37acd0c664e3de26e97e5571454,325,Alisha Solid Women's Cycling Shorts,694,-5.0,58.0
210.0,Sicons All Purpose Arnica Dog Shampoo,220.0,bc940ea42ee6bef5ac7cea3fb5cfbee7,258,Sicons All Purpose Arnica Dog Shampoo,208,-12.0,48.0
430.0,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430.0,c2a17313954882c1dba461863e98adf2,473,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,427,-3.0,43.0
479.0,Alisha Solid Women's Cycling Shorts,1199.0,ce5a6818f7707e2cb61fdcdbba61f5ad,602,Alisha Solid Women's Cycling Shorts,1198,-1.0,123.0
22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,8542703ca9e6ebdf6d742638dfb1f2ca,28664,FabHomeDecor Fabric Double Sofa Bed,32137,-20.0,6018.0
349.0,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699.0,29c8d290caa451f97b1c32df64477a2c,385,"dilli bazaaar Bellies, Corporate Casuals, Casuals",682,-17.0,36.0
479.0,Alisha Solid Women's Cycling Shorts,1199.0,4044c0ac52c1ee4b28777417651faf42,542,Alisha Solid Women's Cycling Shorts,1197,-2.0,63.0
950.0,Ladela Bellies,1724.0,e54bc0a7c3429da2ebef0b30331fe3d2,1119,Ladela Bellies,1705,-19.0,169.0
910.0,Carrel Printed Women's,2299.0,c73e78fb440ff8972e0762daed4fc109,1080,Carrel Printed Women's,2281,-18.0,170.0
,Sicons All Purpose Tea Tree Dog Shampoo,,c29af37837afcaf44b779eca7c19295f,0,Sicons All Purpose Tea Tree Dog Shampoo,-11,,
379.0,Alisha Solid Women's Cycling Shorts,999.0,9aacdecceb404c74abddc513fd2756a8,479,Alisha Solid Women's Cycling Shorts,990,-9.0,100.0
699.0,Freelance Vacuum Bottles 350 ml Bottle,699.0,83c53f8948f508f51d2249b489ca8e7d,822,Freelance Vacuum Bottles 350 ml Bottle,690,-9.0,123.0
379.0,Alisha Solid Women's Cycling Shorts,999.0,d95b0456a0350bc42f2393c6e84b0f09,434,Alisha Solid Women's Cycling Shorts,995,-4.0,55.0
22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,849ab05698081a374215d0b7d18047d0,28650,FabHomeDecor Fabric Double Sofa Bed,32150,-7.0,6004.0
449.0,Style Foot Bellies,899.0,c275ee5ac19f774a3ef7da71b40aabd8,514,Style Foot Bellies,894,-5.0,65.0
999.0,Carrel Printed Women's,2499.0,4f3511c33a6869b1d5102cd97818ef00,1156,Carrel Printed Women's,2482,-17.0,157.0
22646.0,FabHomeDecor Fabric Double Sofa Bed,32157.0,7ee3e337474a29b38cfe1f5d4020d633,26423,FabHomeDecor Fabric Double Sofa Bed,32144,-13.0,3777.0
